zip, delay
98028,00:03:07
98092,00:00:58
98155,00:02:07
98032,00:03:12
98109,00:03:01
98108,00:03:24
98158,00:01:54
98106,00:02:54
98133,00:02:34
98146,00:02:28
98033,00:02:30
98102,00:03:35
98422,00:01:14
98107,00:03:03
98178,00:03:35
98204,00:04:06
98125,00:03:08
98074,00:03:22
98115,00:03:23
98039,00:02:22
98188,00:02:06
98148,00:02:21
98117,00:04:11
98118,00:03:44
98053,00:02:18
98008,00:02:48
98103,00:03:18
98070,00:02:56
98026,00:02:19
98136,00:02:31
98056,00:03:01
98077,00:05:20
98006,00:02:33
98004,00:01:53
98001,00:02:18
98030,00:01:55
98101,00:02:47
98166,00:01:53
98181,00:02:14
98029,00:02:11
98065,00:03:36
98040,00:03:00
98164,00:03:09
98003,00:02:45
98043,00:01:05
98055,00:02:41
98116,00:02:21
98275,00:03:33
98154,00:00:47
98031,00:02:13
98027,00:03:24
98122,00:02:47
98019,00:03:49
98005,00:01:58
98057,00:02:29
98144,00:02:55
98121,00:02:52
98126,00:02:19
98058,00:02:40
98011,00:03:24
98105,00:03:02
98052,00:02:12
98087,00:05:52
98104,00:02:42
98112,00:02:56
98208,00:08:43
98177,00:03:33
98119,00:02:50
98007,00:02:15
98075,00:03:13
98072,00:03:46
98134,00:03:21
98198,00:02:28
98023,00:01:45
98002,00:02:14
98038,00:03:18
98022,00:01:06
98059,00:03:17
98021,00:02:49
98203,00:03:28
98199,00:03:44
98045,00:03:08
98168,00:03:37
98042,00:02:53
98034,00:03:10
98195,00:02:54
98010,00:02:43
